Model,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.9825,0.9861,0.9861,0.9861,0.9954
Decision Tree,0.9211,0.9565,0.9167,0.9362,0.9163
SVM,0.9825,0.9861,0.9861,0.9861,0.9950
